cohort	gene	alias	n	rho	rho_lo	rho_hi	p	rho_purity_adj	p_purity_adj	rho_prolif_adj	p_prolif_adj	q	q_purity_adj	q_prolif_adj
ACC	CD274	PD-L1	77	0.009913226619547594	-0.22754426309404222	0.24625791042818512	0.9318102506860043	-0.023763257519184115	0.8385421044909712	0.003463670736275762	0.9763101213648361	0.953528876668225	0.9023442211370234	0.9822632318609631
ACC	PDCD1LG2	PD-L2	77	-0.10804343238233091	-0.33635644928125885	0.13226535656274868	0.3496275904341139	-0.1771600849529064	0.1257725402215385	-0.042932334895280616	0.7126925532951277	0.471096651076538	0.23474129275358854	0.8017791224570187
ACC	PDCD1	PD-1	77	-0.14998561248803377	-0.3736316555374124	0.09014060121709305	0.19292658171768368	-0.1975864056873644	0.08710292249555861	-0.11808950337206181	0.3096394626330254	0.30806018693630133	0.1789043428850685	0.46587092402233304
ACC	CTLA4	CTLA-4	77	-0.1754478300553584	-0.3959136960196736	0.0641414409678143	0.12695205283083616	-0.21716685774453792	0.0595113913206917	-0.09332101330144767	0.4226556699296679	0.21447531109646384	0.13034574647673625	0.566977118198335
ACC	HAVCR2	TIM-3	77	0.004640279734918956	-0.23253843339865962	0.24129806210137736	0.9680512782448041	-0.034583885238724174	0.7667816103560493	-0.017538415683688156	0.8804696242050678	0.9779293525126083	0.8567875781630799	0.9227597959368209
ACC	LAG3	LAG-3	77	-0.12147032575771805	-0.3483676729968142	0.11887382127392289	0.2926314788213632	-0.11236204267776223	0.3338540874116593	-0.26463564307403004	0.020879528732662942	0.41744259947139706	0.4874860568400335	0.05476078855567831
ACC	TIGIT	TIGIT	77	-0.16851223870195614	-0.3898699632829439	0.07125566644399163	0.14292040427381072	-0.2299088681514584	0.0457240572112512	-0.06726531063220423	0.5637089542524913	0.2366073582459408	0.10987091417266671	0.687280621563998
ACC	IDO1	IDO1	77	0.14245246438828524	-0.09777037546084436	0.3669895300018537	0.2165018074266192	0.14871705444606245	0.19979302609132668	0.10215768246548827	0.37987289363931065	0.33179069559187774	0.3386902325863243	0.5282055928328176
ACC	BTLA	BTLA	77	0.09037918038312703	-0.14975047629407534	0.32044067519919406	0.43438855852574176	0.06577668547940813	0.572389255554151	0.03667844877034519	0.7530943953417143	0.5513393242826723	0.7166045662094306	0.8339635921569319
ACC	SIGLEC15	Siglec-15	77	0.12177580806826627	-0.11856812268993262	0.3486400824947783	0.29141030958467523	0.09795953686509332	0.39986328550618705	0.19256056089035334	0.09561016391431934	0.41690203249830704	0.5558011410138534	0.1931715556636248
ACC	CD276	B7-H3	77	0.5768874342061227	0.39378626614277074	0.7159552147381226	3.988647099464985e-08	0.5823198293346692	3.4299651550306355e-08	0.38026218564717446	0.0007031502916891381	3.796885219683014e-07	3.6124101100854565e-07	0.0034461326176843895
ACC	IL10	IL-10	77	0.020761254229635404	-0.21723032549824028	0.256423018444145	0.8577659325725939	-0.03555622260506126	0.760418585247475	0.0573512751530715	0.6226515199808957	0.9033917800498595	0.8535310650736964	0.7391187107686891
ACC	TGFB1	TGF-beta1	77	0.12332404437667595	-0.11701808934168517	0.3500201110257068	0.2852728938945848	0.10362966642246292	0.37300879607027193	0.04132514660157815	0.723005413666437	0.4093045868922304	0.526038045740127	0.8097006329522315
ACC	ENTPD1	CD39	77	0.43354299348295255	0.2191279503248351	0.6080131723281319	8.192097502025934e-05	0.40595434323879287	0.0002743683556882598	0.4049024779459176	0.00028557652428053614	0.000397557672892435	0.001385840163935598	0.0016063679490780159
ACC	NT5E	CD73	77	0.25351464687574693	0.01765181309114015	0.46264938391876237	0.026103072642458824	0.258753818526282	0.024010295137920662	0.12016597553840912	0.3011486684498186	0.06177618295421432	0.06505085306031214	0.4545937666441734
BLCA	CD274	PD-L1	407	0.3616777283274679	0.26869080063715217	0.4479856763666735	5.051864907483406e-14	0.3768741201739271	3.775645296537691e-15	0.190844415933402	0.00010920570610003004	1.087249186610559e-12	9.344722108930785e-14	0.0007207576602601983
BLCA	PDCD1LG2	PD-L2	407	0.3087234351472117	0.21248381618743536	0.3990313485760482	1.9496990496939278e-10	0.3746687523525666	5.607465103800143e-15	0.17750785084774717	0.00032534005554507134	2.6808361933291507e-09	1.3217596316100338e-13	0.0017893703054978924
BLCA	PDCD1	PD-1	407	0.19434484377024733	0.09321467027352515	0.29150587244789844	7.933784571763738e-05	0.22549098584266397	4.4592823271339606e-06	0.11814130077166342	0.017242880403433806	0.0003888339963389159	3.199050365117842e-05	0.046136355674052616
BLCA	CTLA4	CTLA-4	407	0.22773591981811142	0.12773605537707908	0.32315212540673766	3.460601295340026e-06	0.2625437948476509	7.950025401544215e-08	0.15462055472364866	0.0017797194838486642	2.3791633905462677e-05	7.870525147528773e-07	0.007280670615744536
BLCA	HAVCR2	TIM-3	407	0.25914700311186717	0.1604331133403584	0.3527283199895748	1.1399343524570415e-07	0.320496791084465	3.7618098738319264e-11	0.1574015230808075	0.001464492182321573	1.0259409172113373e-06	6.006760927570334e-10	0.006249341640079126
BLCA	LAG3	LAG-3	407	0.22946491728244225	0.12953020289945458	0.3247849850188889	2.902483380877263e-06	0.2503858861550423	3.2007942229628467e-07	0.0772256154112716	0.120285527658774	2.023562357090486e-05	2.8292734649403735e-06	0.22988932892313949
BLCA	TIGIT	TIGIT	407	0.23308214069575597	0.13328584396655369	0.32819924217112595	2.000038063757026e-06	0.26482170217265305	6.075554282893118e-08	0.1414010192419991	0.004307428332939677	1.4559100611172467e-05	6.265415354233527e-07	0.015015331160599579
BLCA	IDO1	IDO1	407	0.2976523491825459	0.20081263614794376	0.3887310457159299	9.02089476868141e-10	0.3090078617439123	1.9715642403691218e-10	0.19627586951406084	6.849637025473661e-05	1.0148506614766587e-08	2.9573463605536827e-09	0.0004709125455013142
BLCA	BTLA	BTLA	407	0.11876025093427496	0.01595943614505032	0.21907657062630634	0.016529122694798153	0.15967058724175387	0.0012462067492394655	0.11519992294014071	0.02024413005258874	0.041322806736995385	0.005317865007530479	0.05387550739801843
BLCA	SIGLEC15	Siglec-15	407	-0.3050329807046759	-0.3956003588470694	-0.20859027198978303	3.2723066823349723e-10	-0.30794638183598255	2.2894387141711785e-10	-0.15711425111576613	0.0014945014173542057	4.049479519389528e-09	3.333153422102157e-09	0.006322890611883178
BLCA	CD276	B7-H3	407	0.3605596321685898	0.2674974455030799	0.44695735785016105	6.115296491592178e-14	0.3908112404690895	2.88950639678727e-16	0.2377103819086126	1.2688058126490199e-06	1.2612799013908866e-12	7.64652574277023e-15	1.2817528107372751e-05
BLCA	IL10	IL-10	407	0.18236355839295718	0.08088680480919923	0.280098572689611	0.0002166268351093604	0.2586994393991366	1.2444487177357633e-07	0.12418865740612187	0.012268747876740486	0.0009837640676984714	1.2078472848611819e-06	0.03490247240796862
BLCA	TGFB1	TGF-beta1	407	0.2493736900889605	0.15023640910739083	0.3435459131981324	3.465668843252844e-07	0.27347494522929283	2.1374230142256815e-08	0.26104681183709466	9.473671594628709e-08	2.907637419339251e-06	2.35116531564825e-07	1.2674236322543812e-06
BLCA	ENTPD1	CD39	407	0.12774354436506313	0.025077462522278177	0.22774313817272618	0.009886327127531734	0.21968864742723748	7.9082978905724e-06	0.12716708179215155	0.01032155382356831	0.026888636967737405	5.513531627934278e-05	0.030053936133331252
BLCA	NT5E	CD73	407	0.35228743087198416	0.2586773034958026	0.4393422732537123	2.4559074846529976e-13	0.3907284456777475	2.935030083083523e-16	0.30030501139829724	6.598293413168185e-10	4.675670018858592e-12	7.64652574277023e-15	1.5553120188182152e-08
BRCA	CD274	PD-L1	1090	0.24074758235199675	0.1805519981466732	0.29914640264279224	7.755087708693439e-16	0.26089964096741197	2.0995282201317655e-18	0.17378343849413924	7.822352480063445e-09	2.2580990681195602e-14	7.197466916067083e-17	1.4892555683197715e-07
BRCA	PDCD1LG2	PD-L2	1090	0.2265368759669316	0.16597196929363675	0.28539920405187147	3.7558737950200284e-14	0.27459541011181465	2.7260715051780696e-20	0.15950007261341545	1.2140562426169404e-07	8.853131088261496e-13	1.3494053950631445e-18	1.5409175387061168e-06
BRCA	PDCD1	PD-1	1090	-0.008993886994319685	-0.07188423722548865	0.05396769475441524	0.7667720573804305	-0.0034328430166400137	0.9099084225961154	-0.07842125397863903	0.009627825011412933	0.8453277692724123	0.938447175438902	0.028367698694341678
BRCA	CTLA4	CTLA-4	1090	0.0972773280824318	0.03455784670873065	0.15923357419227352	0.0013018609915185029	0.10739988012855782	0.000384647123962029	-0.03214620785863907	0.2891989796360543	0.004845272111290669	0.0018851517461505381	0.4445760711796487
BRCA	HAVCR2	TIM-3	1090	0.19939181548838886	0.13819483882412084	0.2590720331465895	3.090286509282924e-11	0.24477754931093856	2.5408273815373725e-16	0.152872522848319	4.0028771122263107e-07	4.635429763924386e-10	7.398291493299996e-15	4.607963187330288e-06
BRCA	LAG3	LAG-3	1090	-0.009865330894296672	-0.07275120068982742	0.053098670968833916	0.7449240902939249	-0.008808576415082219	0.7715448039714823	-0.18945553114676608	2.9380909253301054e-10	0.8361392850237933	0.8601681936168553	7.271775040192011e-09
BRCA	TIGIT	TIGIT	1090	0.11623750165802418	0.05369927263782438	0.17786744713237077	0.00011994455351727339	0.12980560355252044	1.73237212460706e-05	0.01919171380002399	0.5269573432529342	0.0005548836821593488	0.00011283213180006509	0.663724897990337
BRCA	IDO1	IDO1	1090	0.12275294652012465	0.06028763034073501	0.1842605754012182	4.835622966590428e-05	0.1278952894762122	2.304996288743545e-05	-0.029748349873150944	0.3266986872853613	0.00024178114832952138	0.0001462786106318019	0.48602718280483637
BRCA	BTLA	BTLA	1090	0.04987363509249234	-0.013098512215299559	0.1124517304661585	0.09982134375231783	0.06008650847071079	0.04743797016723051	0.015508008125809358	0.6092059259297319	0.18033417940655957	0.11181807253704334	0.7319343042116925
