cohort	measure	n	rho	rho_lo	rho_hi	p	q
GBM	Microenvironment score	151	-0.3433530846985012	-0.4843586760775717	-0.18496069982240637	1.588194741213769e-05	0.00010015129068060155
HNSC	TMB	505	0.08548789660307504	-0.0070289381494249995	0.17655363594655407	0.05487600654182727	0.11686556948722474
HNSC	MSI (MANTIS)	495	-0.07986663602787342	-0.17197468767936802	0.013625773690647013	0.0758541736681958	0.1466089070897902
HNSC	Aneuploidy	500	0.14749167438225017	0.05532741296013616	0.23716381319677335	0.0009400919162299074	0.00337845532395123
HNSC	FGA	507	0.1577615082398858	0.06645020817487433	0.2464523329911642	0.00036268073337828723	0.0014382167013276908
HNSC	Immune score	518	-0.17377968386352113	-0.2609333995769948	-0.08381601147838891	7.011519600613083e-05	0.00034311691662574663
HNSC	Stromal score	518	-0.03827950740538147	-0.1291216785233128	0.05319981657031715	0.3846060978593766	0.5296970210039319
HNSC	Microenvironment score	518	-0.17065089808247735	-0.2579259993611243	-0.08061339009372324	9.491639298676583e-05	0.0004427603068367503
KICH	TMB	65	0.0654565226198624	-0.1957413539786932	0.31798232310976754	0.6044276688680599	0.727844836856826
KICH	MSI (MANTIS)	65	-0.010599818652305833	-0.2677614614613541	0.24797164528545218	0.933213363265466	0.9443636747664012
KICH	Aneuploidy	65	-0.23447255167405337	-0.46429095756973937	0.024928448288270674	0.06010818419091303	0.12568074876281815
KICH	FGA	65	-0.058443656737521464	-0.3116401424512376	0.2025021070125177	0.6437651942091125	0.7516040338482024
KICH	Immune score	66	0.19252687610896568	-0.06668906259562649	0.42739749407391625	0.12144436101188655	0.2165287056801078
KICH	Stromal score	66	-0.19448909299655573	-0.4290622137968024	0.06465930386939599	0.11762250714337838	0.21301713892107896
KICH	Microenvironment score	66	0.013004905542218975	-0.24373627516455118	0.2680427093650404	0.9174566000610478	0.9443636747664012
KIRC	TMB	397	0.025573888512636377	-0.07892211075619619	0.1295139915861786	0.6114305562730913	0.7324428538688074
KIRC	MSI (MANTIS)	323	0.17910765600508474	0.06483032433117045	0.28874801003702827	0.0012264411336294007	0.004273961526284275
KIRC	Aneuploidy	478	-0.17742241230079644	-0.26794182523256826	-0.08379801019245776	9.625224061668485e-05	0.0004427603068367503
KIRC	FGA	501	-0.13668027302090172	-0.22663447142111923	-0.04441406325921431	0.0021688694790647886	0.0070259152138718505
KIRC	Immune score	530	-0.15036568711350107	-0.23739769567639057	-0.060938945037170386	0.0005141548124655648	0.0019709267811179984
KIRC	Stromal score	530	0.2169063781826305	0.12918156724711544	0.30126242856724655	4.608894913213418e-07	5.3002291501954306e-06
KIRC	Microenvironment score	530	-0.026580980046461807	-0.11655510906043944	0.06382588895056136	0.5414623128024029	0.6750550300097815
KIRP	TMB	275	-0.08093888401007276	-0.2041766208226267	0.044824303687226126	0.18079786127002684	0.28951695577641445
KIRP	MSI (MANTIS)	279	0.041815891719472024	-0.08302269143936433	0.16536233215877627	0.48665954383389515	0.6150093136362411
KIRP	Aneuploidy	278	0.057584294843879266	-0.06753068379782863	0.18091623219436195	0.3387742292989112	0.4722307438712095
KIRP	FGA	281	0.09112202019320623	-0.033216167499062144	0.2126825950437067	0.12754707479301308	0.2239376122320077
KIRP	Immune score	288	-0.24531621447126564	-0.35703807627399453	-0.1266746638133207	2.558807037664254e-05	0.00015090400478532778
KIRP	Stromal score	288	-0.1215336045539494	-0.24040270290861357	0.0009268098301672631	0.03928679622200615	0.08973626325401393
KIRP	Microenvironment score	288	-0.21248767507488944	-0.32644082979544514	-0.09244635906954951	0.0002813263780086904	0.001198241980407385
LAML	TMB	167	0.12210441731051724	-0.039493028588313495	0.2774774919650817	0.11595681484198689	0.21166720169569034
LAML	Aneuploidy	106	0.1302846414763552	-0.07354581883160685	0.3236668449036003	0.1831431509899913	0.28951695577641445
LAML	FGA	160	0.09573747367786516	-0.06966287366556712	0.25601487682476687	0.22848634311037394	0.34275337691017144
LAML	Immune score	167	-0.31453893925082743	-0.452472639958923	-0.16190704911363332	3.476449539843638e-05	0.00019989584854100917
LAML	Stromal score	167	0.17316200252028027	0.012693577725383775	0.32493505014077956	0.02522940468852952	0.062395301917868705
LAML	Microenvironment score	167	-0.3109304052805569	-0.4492860344249999	-0.1580096691651059	4.318073830614272e-05	0.00023096673977704245
LGG	TMB	507	0.1997097799664654	0.10944811052744098	0.2867047938516413	5.858701219626418e-06	4.49167093504692e-05
LGG	MSI (MANTIS)	504	-0.13023506954022113	-0.2201346243698554	-0.038141838518313806	0.003400607363043461	0.010157658357142805
LGG	Aneuploidy	500	0.24052634334619657	0.15097821429839692	0.32615912322714835	5.18028582130471e-08	7.446660868125521e-07
LGG	FGA	504	0.261799675144445	0.1734494347470723	0.3459696910950478	2.4138801315928913e-09	3.965660216188322e-08
LGG	Immune score	509	-0.10350096657587711	-0.19375127050103058	-0.011513546046357577	0.019510898804765562	0.04986118583440088
LGG	Stromal score	509	-0.08251629674953283	-0.17329649634999333	0.009654240147941294	0.06285031804669518	0.12906761741732045
LGG	Microenvironment score	509	-0.09920328923350025	-0.18956849593014188	-0.00717164248089046	0.025211341424783748	0.062395301917868705
LIHC	TMB	359	-0.07581690949477604	-0.1839550827369749	0.034134606663449994	0.15169227288024933	0.25843868712931367
LIHC	MSI (MANTIS)	362	0.09386068462381522	-0.015510492299090718	0.20101234435085513	0.0744912375062047	0.14519478496972102
LIHC	Aneuploidy	353	0.165217269625374	0.055637811481932524	0.2708640314960858	0.0018421203765129977	0.006140401255043325
LIHC	FGA	359	0.19856710595096852	0.09087841206724785	0.3016656139452213	0.00015249859426123548	0.0006745130130785416
LIHC	Immune score	369	-0.05688394874107109	-0.16404555202359183	0.051604591720652515	0.2757658747719962	0.3947317934120873
LIHC	Stromal score	369	-0.3392311662089071	-0.4315658737963252	-0.23986188517019738	2.174088665139495e-11	6.970898177320893e-10
LIHC	Microenvironment score	369	-0.2011513596781245	-0.30273522837178274	-0.09504848811869057	9.994643009279056e-05	0.0004507388023792516
LUAD	TMB	507	0.1815058213894983	0.09074707100452992	0.26927439647990714	3.939272981120078e-05	0.00021572209182324237
LUAD	MSI (MANTIS)	505	0.09169939273777784	-0.0007683980107383307	0.1826123635055892	0.03940592429850177	0.08973626325401393
LUAD	Aneuploidy	494	0.1783422655728685	0.08629574322400535	0.2673698522600087	6.725004631074217e-05	0.0003382523879938117
LUAD	FGA	494	0.2013229438094305	0.10990618106443797	0.2893622128084258	6.496697741126e-06	4.820130582125741e-05
LUAD	Immune score	512	-0.2894874276440582	-0.371440421463618	-0.203058379192644	2.424660235589876e-11	6.970898177320893e-10
LUAD	Stromal score	512	-0.21596269694391765	-0.30180445220175145	-0.12664736937182852	8.094888735278231e-07	8.289021055014247e-06
LUAD	Microenvironment score	512	-0.30989080260029617	-0.3906025890243721	-0.22445095371111878	7.380343236918186e-13	3.394957888982366e-11
LUSC	TMB	478	0.03289452649425547	-0.06233773856136361	0.12753321512269034	0.4730710676425896	0.6065399465570752
LUSC	MSI (MANTIS)	473	0.3035635586171038	0.21423840289983373	0.3878535273077162	1.5365857168762297e-11	5.890245248025547e-10
LUSC	Aneuploidy	476	0.1481620740353708	0.053682680799853694	0.2400122647905447	0.0011872488268116392	0.004201034310256569
LUSC	FGA	481	0.21908617035462258	0.12698136337086996	0.30744521060997365	1.2253343927779902e-06	1.1273076413557509e-05
LUSC	Immune score	498	-0.35002142779535467	-0.4291445354975517	-0.2655673153990893	8.458527362008114e-16	5.295457541044408e-14
LUSC	Stromal score	498	-0.1883782858974866	-0.27663517340557947	-0.09697012524355396	2.3243796486586193e-05	0.00014068613662933748
LUSC	Microenvironment score	498	-0.3495971227121297	-0.4287500259977651	-0.26511788955312765	9.209491375729405e-16	5.295457541044408e-14
MESO	TMB	86	-0.01971225094464157	-0.24280890400309948	0.20536483137490227	0.8570376365924245	0.9193837235015565
MESO	MSI (MANTIS)	83	0.15567404228017198	-0.07518610968053971	0.37069508890751995	0.15992225756880413	0.2656702279499986
MESO	Aneuploidy	81	-0.028234700818654136	-0.2575473802636379	0.20408877025243777	0.8024229762220081	0.8872946371685667
MESO	FGA	87	0.11978929382813232	-0.10591459603197831	0.3337548115015885	0.26909696816910744	0.38925976527606737
MESO	Immune score	87	-0.2140956477363855	-0.4170705327577999	0.009220487684975406	0.046456603182067645	0.10274056472957269
MESO	Stromal score	87	0.0035357585477874165	-0.2195133890732879	0.2262336413288292	0.974071361327236	0.974071361327236
MESO	Microenvironment score	87	-0.17828242327039437	-0.3858277580454869	0.04643898851021719	0.09850999768491962	0.1812583957402521
OV	TMB	288	-0.1297560334262154	-0.24825828135495084	-0.007427419487953449	0.02768137753279317	0.06701807192149925
OV	MSI (MANTIS)	213	0.23680496527366834	0.09770842089761132	0.3668271137568443	0.0004913576578979836	0.0019154620562124784
OV	Aneuploidy	284	0.10831000669947291	-0.015199233856208302	0.22856371968982897	0.06836584574439232	0.13555297001043304
OV	FGA	291	0.044154607110148014	-0.07807892117769631	0.16508027198130812	0.45304676126035937	0.5954328862279008
OV	Immune score	300	-0.25334192602140027	-0.3623019156966067	-0.13755088178447092	8.897125431235324e-06	6.201026815709469e-05
OV	Stromal score	300	-0.0021793599699565336	-0.12211917887020919	0.11782319465341037	0.9700145154727269	0.974071361327236
OV	Microenvironment score	300	-0.2515627951421682	-0.36064997285263023	-0.1356861117376478	1.0330795753234256e-05	6.988479480129055e-05
PAAD	TMB	172	0.16614712047745653	0.007889163837700984	0.31628543074448956	0.0293857118972981	0.069677461199779
PAAD	MSI (MANTIS)	175	0.08230340256341052	-0.07577706224495315	0.23634811382439097	0.2788939877698585	0.3959605999201695
PAAD	Aneuploidy	158	0.11771362842717867	-0.04857363221239615	0.27765157063971996	0.1407470666443847	0.24339718291886075
PAAD	FGA	176	0.055177993160389245	-0.1023602446907501	0.21001610506831334	0.46700722406466166	0.6065399465570752
PAAD	Immune score	178	0.10562399161214289	-0.05098522680497137	0.25716321700640055	0.16055722471760786	0.2656702279499986
PAAD	Stromal score	178	-0.05066449203317778	-0.20481841388032657	0.10594195871154162	0.5018269802110661	0.6307115051833071
PAAD	Microenvironment score	178	0.03977430198148613	-0.11671920425195699	0.19434058840130314	0.5981064899964504	0.727844836856826
PCPG	TMB	176	0.09074951220258687	-0.06685435835896347	0.24393512962002692	0.2309859713959851	0.34275337691017144
PCPG	MSI (MANTIS)	176	0.01797530212414624	-0.13906975744721092	0.17413840098317712	0.8128203082308673	0.894491248292342
PCPG	Aneuploidy	159	-0.057177972185891615	-0.21992612254132832	0.10866687698363217	0.47406297072113585	0.6065399465570752
PCPG	FGA	160	-0.015607409348399475	-0.1794517721620611	0.1490794284499102	0.8447010685620826	0.912118524738399
PCPG	Immune score	177	0.1609390419140943	0.00485096457702599	0.309371386649687	0.032358493281672875	0.0759434025998445
PCPG	Stromal score	177	-0.2308413116116411	-0.3735801449534064	-0.07742313691466018	0.0019931949061045185	0.006549068977200561
PCPG	Microenvironment score	177	-0.2056339917937709	-0.35058257782827984	-0.05106425035677837	0.0060362469057848814	0.016930936443055156
PRAD	TMB	491	0.11717456302246192	0.023664065173063322	0.20865249710823613	0.009356258954486961	0.025259526333167078
PRAD	MSI (MANTIS)	491	-0.12681756537674804	-0.21799572250094384	-0.03344477499746853	0.004888389000112832	0.013880610741061129
PRAD	Aneuploidy	469	0.06435047311868472	-0.031790957304273816	0.15931201168984083	0.1641273195544613	0.2696377392680436
PRAD	FGA	486	0.10231611692747403	0.008142895313448605	0.19469037301291092	0.024088493385019068	0.060883005258839405
PRAD	Immune score	495	0.21109542845738075	0.12007179000070671	0.2985995061355526	2.1562498835757084e-06	1.8368054563793074e-05
PRAD	Stromal score	495	-0.3617051016181308	-0.44022510999464787	-0.27769483338008366	9.561804748969008e-17	1.099607546131436e-14
PRAD	Microenvironment score	495	-0.23955151749277204	-0.3256567344738397	-0.14950546140219326	6.853967723630198e-08	9.27301515549968e-07
READ	TMB	87	0.1615221638967286	-0.06364519042907502	0.37104105668747384	0.13501344079500024	0.2352506922943186
READ	MSI (MANTIS)	84	-0.07928681355910332	-0.30070434399808144	0.1502406328343054	0.4734253038304489	0.6065399465570752
READ	Aneuploidy	87	-0.01355617563696521	-0.23572014605036237	0.2099543326550754	0.9008240375640053	0.9375091793652545
READ	FGA	87	-0.20575839177143568	-0.40983985609326234	0.017940498194986568	0.05588393479392108	0.11792022938166834
READ	Immune score	92	-0.028620748115839277	-0.2438370399766892	0.18928215628411807	0.7865274599747956	0.8824454428985512
READ	Stromal score	92	0.07452674247062423	-0.14453662477118243	0.2866259326975306	0.48016048724515015	0.6101486854496383
READ	Microenvironment score	92	0.015859315999568455	-0.20156228642056867	0.2317914078850422	0.8807277037720506	0.9249651683450759
SARC	TMB	252	-0.0832209057204129	-0.21181798013115252	0.04820890180595164	0.18790291523710798	0.2939673285031653
SARC	MSI (MANTIS)	248	0.037423404833659024	-0.09500229579837394	0.16854762649073235	0.5574908591937566	0.6875652116920902
SARC	Aneuploidy	241	0.02435234935925571	-0.10986589075811597	0.157698381353455	0.7068125346374063	0.8087904625204152
SARC	FGA	249	0.005643233386192453	-0.12614170543254374	0.13723244198124282	0.9293987286979776	0.9443636747664012
SARC	Immune score	258	-0.3038800283068173	-0.41686434308600606	-0.18164847837627449	6.508187706433499e-07	7.1280151070462125e-06
SARC	Stromal score	258	-0.21032360151261134	-0.33069809862968863	-0.08321505031965683	0.000673851258371756	0.002499770797185547
SARC	Microenvironment score	258	-0.3700373330594246	-0.4765942845662041	-0.25276505333570143	8.573545368419939e-10	2.1910171497073176e-08
SKCM	TMB	75	0.010939066981159765	-0.22972914839943193	0.250346562108616	0.9257870203743173	0.9443636747664012
SKCM	MSI (MANTIS)	75	0.10298939524524929	-0.14055052258965778	0.33477724210445015	0.37925216276635665	0.5254698640738676
SKCM	Aneuploidy	75	-0.01156187573951599	-0.25093032013686956	0.22913904961008807	0.9215747437224316	0.9443636747664012
SKCM	FGA	75	0.12011379800853485	-0.12351262906058212	0.350084013726838	0.30467171848939095	0.4299048788500608
SKCM	Immune score	102	-0.3638496922556463	-0.5299809749575966	-0.17082182128947807	0.0001705178392029762	0.0007399830757865005
SKCM	Stromal score	102	-0.18304630470230832	-0.3747481183495061	0.023665605971004214	0.06555060608212622	0.13283143948658255
SKCM	Microenvironment score	102	-0.4145252628649226	-0.5715797024928104	-0.22817206629972556	1.4814485503244198e-05	9.73523333070333e-05
STAD	TMB	407	0.29277566341007577	0.19568032282776723	0.3841866466168095	1.7356517902179751e-09	3.198910963223945e-08
STAD	MSI (MANTIS)	408	0.20239752100968492	0.10164411568015093	0.29904101027535573	3.8153214698940815e-05	0.00021403022879893627
STAD	Aneuploidy	399	0.030542522766797375	-0.07371542522346038	0.13414008313890186	0.542979045877433	0.6750550300097815
STAD	FGA	408	0.21174503826582558	0.11129969065880146	0.3079078382490092	1.6111294587748945e-05	0.00010015129068060155
